"editid","class","annotators","totalannotators"
11950,"regular",3,3
11951,"regular",3,3
11952,"regular",5,6
11953,"regular",3,3
11954,"regular",3,3
11959,"regular",6,6
11960,"regular",3,3
11961,"regular",3,3
11962,"regular",3,3
11963,"regular",3,3
11964,"regular",5,6
11965,"regular",3,3
11966,"regular",3,3
11971,"regular",3,3
11972,"regular",3,3
11973,"regular",3,3
11974,"regular",3,3
11975,"vandalism",9,18
11976,"regular",3,3
11977,"regular",5,6
11978,"regular",3,3
11983,"regular",3,3
11984,"regular",3,3
11985,"regular",3,3
11986,"regular",3,3
11987,"regular",3,3
11988,"regular",5,5
11989,"regular",3,3
11990,"regular",3,3
11995,"regular",3,3
11996,"regular",5,6
11997,"regular",3,3
11998,"regular",3,3
11999,"regular",6,6
12000,"regular",3,3
12001,"regular",3,3
12002,"regular",3,3
12003,"regular",6,7
12004,"regular",3,4
12005,"regular",4,4
12006,"vandalism",8,10
12007,"regular",3,3
12008,"regular",3,3
12009,"regular",3,3
12010,"vandalism",8,9
12011,"regular",3,3
12012,"regular",3,3
12013,"regular",5,6
12014,"regular",3,3
12019,"regular",3,3
12020,"regular",5,6
12021,"regular",6,6
12022,"regular",3,3
12023,"regular",3,3
12024,"regular",3,3
12025,"regular",3,3
12026,"vandalism",15,15
12031,"regular",3,3
12032,"regular",3,3
12033,"regular",6,7
12034,"regular",3,3
12035,"regular",3,3
12036,"regular",3,3
12037,"regular",3,3
12038,"regular",3,3
12043,"regular",3,3
12044,"regular",3,3
12045,"regular",3,3
12046,"regular",3,3
12047,"regular",5,6
12048,"regular",3,3
12049,"regular",3,3
12050,"regular",3,3
12055,"regular",3,3
12056,"regular",3,3
12057,"regular",3,3
12058,"regular",3,3
12059,"regular",3,3
12060,"regular",3,3
12061,"regular",3,3
12062,"regular",3,3
12067,"regular",5,6
12068,"vandalism",8,9
12069,"regular",3,3
12070,"regular",3,3
12071,"regular",3,3
12072,"regular",3,3
12073,"regular",6,7
12079,"regular",3,3
12080,"regular",3,3
12081,"regular",3,3
12082,"regular",3,3
12083,"vandalism",13,13
12084,"regular",3,3
12085,"regular",3,3
12086,"vandalism",12,19
12092,"regular",3,3
12093,"regular",3,3
12094,"regular",3,3
12095,"regular",3,3
12097,"regular",3,3
12098,"regular",3,3
12104,"regular",3,3
12105,"regular",3,3
12106,"regular",3,3
12108,"regular",3,3
12109,"regular",3,3
12110,"regular",3,3
12115,"regular",3,3
12116,"vandalism",12,12
12117,"regular",3,3
12118,"regular",3,3
12119,"regular",3,3
12120,"regular",6,6
12121,"regular",3,3
12122,"regular",3,3
12127,"regular",3,3
12128,"regular",3,3
12129,"regular",3,3
12130,"regular",3,3
12131,"regular",3,3
12132,"regular",3,3
12133,"regular",3,3
12134,"regular",3,3
12139,"regular",3,3
12140,"vandalism",8,9
12141,"regular",3,3
12142,"regular",3,3
12143,"regular",3,3
12144,"vandalism",12,12
12145,"regular",3,3
12146,"regular",3,3
12151,"regular",3,3
12152,"regular",3,3
12153,"regular",3,3
12154,"regular",6,6
12155,"regular",3,3
12156,"regular",3,3
12157,"regular",3,3
12158,"regular",3,3
12159,"regular",4,4
12163,"vandalism",12,12
12164,"regular",3,3
12165,"regular",3,3
12166,"regular",6,6
12167,"regular",3,3
12168,"regular",3,3
12169,"regular",3,3
12170,"regular",3,3
12175,"regular",3,3
12176,"regular",11,17
12177,"regular",3,3
12178,"regular",3,3
12179,"regular",3,3
12180,"regular",5,6
12181,"regular",5,6
12182,"vandalism",11,17
12187,"regular",3,3
12188,"regular",3,3
12189,"regular",3,3
12190,"regular",3,3
12191,"regular",3,3
12192,"regular",8,9
12193,"regular",3,3
12194,"regular",3,3
12199,"regular",3,3
12200,"vandalism",5,6
12201,"vandalism",8,9
12202,"regular",3,3
12203,"regular",7,7
12204,"regular",3,3
12205,"regular",3,3
12206,"vandalism",8,9
12211,"regular",3,3
12212,"regular",3,3
12213,"regular",3,3
12214,"regular",3,3
12215,"regular",3,3
12216,"regular",3,3
12217,"regular",3,3
12218,"regular",3,3
12223,"regular",3,3
12224,"regular",3,3
12226,"regular",3,3
12227,"regular",3,3
12228,"regular",3,3
12229,"regular",3,3
12230,"vandalism",13,13
12235,"regular",3,3
12236,"regular",3,3
12237,"regular",5,5
12238,"regular",3,3
12239,"regular",3,3
12240,"regular",3,3
12241,"regular",3,3
12242,"regular",3,3
12247,"regular",3,3
12248,"regular",3,3
12249,"regular",3,3
12250,"regular",8,8
12251,"regular",3,3
12252,"regular",3,3
12253,"regular",3,3
12254,"regular",3,3
12259,"regular",5,6
12260,"regular",5,6
12261,"vandalism",6,8
12262,"regular",3,3
12263,"regular",3,3
12264,"regular",6,7
12265,"vandalism",11,12
12266,"regular",3,3
12271,"regular",3,3
12273,"regular",3,3
12274,"regular",3,3
12275,"regular",3,3
12276,"regular",5,5
12277,"regular",3,3
12278,"regular",3,3
12283,"regular",4,5
12284,"regular",8,8
12285,"regular",4,4
12286,"regular",5,5
12287,"regular",5,5
12288,"regular",4,5
12289,"regular",4,5
12290,"regular",5,5
12295,"vandalism",12,12
12296,"regular",3,3
12297,"regular",5,6
12298,"regular",3,3
12299,"regular",3,3
12300,"regular",3,3
12301,"regular",5,7
12302,"regular",3,3
12307,"regular",3,3
12308,"vandalism",12,12
12309,"regular",3,3
12310,"regular",3,3
12311,"regular",3,3
12312,"regular",3,3
12313,"regular",11,18
12314,"regular",3,3
12319,"regular",3,3
12320,"regular",3,3
12321,"regular",3,3
12322,"regular",3,3
12323,"regular",3,3
12324,"regular",3,3
12325,"regular",3,3
12326,"regular",6,6
12331,"regular",3,3
12332,"regular",3,3
12333,"regular",3,3
12334,"regular",3,3
12335,"vandalism",13,13
12336,"regular",3,3
12337,"regular",3,3
12338,"regular",3,3
12343,"regular",3,3
12344,"vandalism",13,18
12345,"regular",3,3
12346,"regular",3,3
12347,"regular",3,3
12348,"regular",3,3
12349,"regular",3,3
12350,"vandalism",12,12
12355,"regular",3,3
12356,"vandalism",12,12
12357,"regular",3,3
12358,"regular",3,3
12359,"regular",3,3
12360,"regular",6,6
12361,"regular",3,3
12362,"regular",3,3
12367,"regular",3,3
12368,"regular",3,3
12369,"regular",3,3
12370,"regular",3,3
12371,"regular",3,3
12372,"regular",3,3
12373,"regular",6,6
12374,"regular",3,3
12379,"regular",7,9
12380,"regular",3,3
12381,"regular",3,3
12382,"regular",3,3
12383,"regular",3,3
12384,"regular",3,3
12385,"regular",3,3
12386,"regular",3,3
12391,"regular",8,11
12392,"regular",3,3
12393,"regular",5,6
12394,"regular",3,3
12395,"regular",3,3
12396,"regular",3,3
12397,"regular",5,6
12398,"regular",3,3
12403,"regular",3,3
12404,"regular",6,6
12405,"regular",3,3
12406,"regular",6,7
12407,"regular",3,3
12408,"regular",3,3
12409,"regular",3,3
12410,"regular",3,3
12415,"regular",5,6
12416,"regular",3,3
12417,"regular",3,3
12418,"regular",3,3
12419,"regular",3,3
12420,"regular",6,6
12421,"regular",3,3
12422,"regular",3,3
12427,"regular",3,3
12428,"regular",3,3
12429,"regular",3,3
12430,"regular",3,3
12431,"regular",3,3
12432,"regular",3,3
12433,"regular",11,19
12434,"regular",3,3
12439,"regular",3,3
12440,"regular",3,3
12441,"regular",3,3
12442,"regular",3,3
12443,"regular",5,6
12444,"regular",5,5
12445,"regular",10,18
12446,"regular",3,3
12451,"regular",7,9
12452,"regular",3,3
12453,"regular",3,3
12454,"regular",3,3
12455,"regular",5,6
12456,"regular",5,6
12457,"regular",3,3
12458,"regular",3,3
12463,"regular",6,6
12464,"regular",3,3
12465,"regular",3,3
12467,"regular",3,3
12468,"regular",5,6
12469,"regular",3,3
12470,"regular",3,3
12475,"regular",3,3
12477,"regular",3,3
12478,"regular",3,3
12479,"regular",5,6
12480,"regular",8,10
12481,"regular",3,3
12482,"regular",11,19
12483,"regular",5,5
12484,"vandalism",8,8
12485,"regular",4,4
12486,"regular",4,4
12487,"regular",3,3
12488,"regular",13,24
12489,"vandalism",10,12
12490,"vandalism",12,12
12491,"regular",12,18
12492,"regular",5,6
12493,"regular",3,3
12494,"regular",3,3
12499,"regular",3,3
12500,"regular",3,3
12501,"regular",3,3
12502,"regular",3,3
12503,"regular",3,3
12504,"regular",3,3
12505,"regular",3,3
12506,"regular",3,3
12511,"regular",11,15
12512,"regular",3,3
12513,"regular",6,6
12514,"regular",3,3
12515,"regular",3,3
12516,"regular",3,3
12517,"regular",3,3
12518,"regular",5,6
12523,"regular",3,3
12524,"regular",3,3
12525,"regular",3,3
12526,"regular",7,8
12527,"regular",3,3
12528,"regular",5,6
12529,"regular",3,3
12530,"regular",5,6
12535,"regular",3,3
12536,"regular",3,3
12537,"regular",9,18
12538,"regular",5,6
12539,"regular",3,3
12540,"regular",3,3
12541,"regular",3,3
12542,"regular",3,3
12547,"regular",3,3
12548,"regular",3,3
12549,"regular",3,3
12550,"regular",6,6
12551,"regular",3,3
12552,"regular",3,3
12553,"regular",3,3
12554,"regular",3,3
12559,"regular",3,3
12560,"vandalism",8,9
12561,"regular",3,3
12562,"regular",3,3
12563,"regular",3,3
12564,"regular",5,6
12565,"regular",3,3
12566,"regular",3,3
12571,"regular",3,3
12572,"regular",3,3
12573,"regular",3,3
12574,"regular",3,3
12575,"regular",11,18
12576,"regular",3,3
12577,"regular",3,3
12578,"regular",3,3
12583,"regular",3,3
12584,"regular",5,6
12585,"regular",5,6
12586,"regular",3,3
12587,"regular",3,3
12588,"regular",6,6
12589,"regular",3,3
12590,"regular",3,3
12596,"regular",5,6
12598,"regular",3,3
12599,"regular",3,3
12600,"regular",3,3
12601,"regular",3,3
12602,"regular",3,3
12603,"regular",12,17
12607,"regular",3,3
12608,"regular",3,3
12609,"regular",5,6
12610,"regular",5,6
12611,"regular",3,3
12612,"regular",3,3
12613,"regular",3,3
12614,"regular",3,3
12619,"regular",3,3
12620,"vandalism",12,12
12621,"regular",6,6
12622,"regular",3,3
12623,"regular",3,3
12624,"regular",3,3
12625,"vandalism",11,13
12626,"regular",10,19
12631,"regular",3,3
12632,"regular",3,3
12633,"regular",3,3
12634,"regular",3,3
12635,"regular",3,3
12636,"regular",6,6
12637,"regular",3,3
12638,"regular",3,3
12643,"regular",3,3
12644,"regular",7,9
12645,"regular",3,3
12646,"vandalism",12,12
12647,"regular",3,3
12648,"regular",3,3
12649,"vandalism",9,18
12650,"regular",3,3
12655,"regular",3,3
12656,"vandalism",5,6
12657,"regular",3,3
12658,"regular",3,3
12659,"regular",3,3
12660,"regular",5,6
12661,"regular",3,3
12662,"vandalism",12,12
12667,"regular",3,3
12668,"regular",5,6
12669,"vandalism",9,18
12670,"regular",3,3
12671,"regular",3,3
12672,"regular",3,3
12673,"regular",3,3
12674,"regular",3,3
12679,"regular",6,6
12680,"regular",3,3
12681,"regular",3,3
12683,"regular",3,3
12684,"regular",3,3
12685,"regular",3,3
12686,"vandalism",12,12
12691,"regular",3,3
12692,"vandalism",12,12
12693,"regular",3,3
12694,"regular",3,3
12695,"regular",3,3
12696,"regular",3,3
12697,"regular",5,6
12698,"regular",3,3
12703,"regular",3,3
12704,"regular",3,3
12705,"regular",5,5
12706,"regular",3,3
12708,"regular",5,6
12709,"regular",3,3
12710,"vandalism",12,12
12715,"regular",3,3
12716,"regular",3,3
12717,"regular",3,3
12718,"regular",3,3
12719,"regular",3,3
12720,"regular",3,3
12721,"regular",6,6
12722,"regular",3,3
12727,"regular",3,3
12728,"regular",12,16
12729,"regular",3,3
12730,"regular",3,3
12731,"regular",7,9
12732,"regular",3,3
12733,"regular",10,19
12734,"regular",7,9
12739,"regular",3,3
12740,"regular",3,3
12741,"vandalism",7,9
12742,"regular",3,3
12743,"regular",5,5
12744,"vandalism",12,13
12745,"vandalism",14,14
12746,"regular",3,3
12751,"regular",3,3
12752,"regular",7,9
12753,"regular",3,3
12754,"regular",3,3
12755,"regular",3,3
12756,"regular",3,3
12757,"regular",3,3
12758,"regular",6,6
12763,"regular",3,3
12764,"regular",3,3
12765,"regular",3,3
12766,"regular",3,3
12767,"regular",3,3
12768,"regular",7,9
12769,"regular",3,3
12770,"regular",3,3
12775,"regular",3,3
12776,"regular",3,3
12777,"regular",3,3
12778,"regular",3,3
12779,"regular",3,3
12780,"regular",3,3
12781,"regular",5,6
12782,"regular",3,3
12787,"regular",5,5
12788,"regular",3,3
12789,"regular",3,3
12790,"regular",3,3
12791,"regular",3,3
12792,"regular",3,3
12793,"regular",7,9
12794,"vandalism",7,9
12795,"regular",5,5
12799,"regular",3,3
12800,"regular",3,3
12801,"regular",6,6
12802,"regular",3,3
12803,"regular",3,3
12804,"regular",3,3
12805,"regular",3,3
12806,"regular",3,3
12811,"regular",3,3
12812,"vandalism",11,12
12813,"regular",10,17
12814,"regular",9,12
12815,"vandalism",10,12
12816,"regular",5,6
12817,"regular",3,3
12818,"regular",3,3
12823,"regular",3,3
12824,"regular",3,3
12825,"regular",3,3
12826,"regular",3,3
12827,"regular",3,3
12828,"regular",3,3
12829,"regular",3,3
12830,"regular",3,3
12835,"regular",3,3
12836,"regular",5,6
12837,"regular",3,3
12838,"regular",5,6
12839,"regular",3,3
12840,"vandalism",13,13
12841,"regular",3,3
12842,"vandalism",7,9
12847,"regular",3,3
12848,"regular",7,9
12849,"regular",5,6
12850,"regular",3,3
12851,"regular",3,3
12852,"regular",3,3
12853,"regular",3,3
12854,"regular",3,3
12859,"regular",3,3
12860,"regular",3,3
12861,"regular",3,3
12862,"regular",3,3
12863,"regular",3,3
12864,"regular",3,3
12865,"regular",3,3
12866,"regular",3,3
12871,"regular",5,6
12872,"regular",3,3
12873,"regular",3,3
12874,"regular",3,3
12875,"regular",13,18
12876,"regular",3,3
12877,"regular",6,6
12879,"regular",4,4
12880,"regular",4,4
12881,"regular",3,4
12882,"regular",4,4
12883,"regular",3,3
12884,"regular",3,3
12885,"regular",3,3
12886,"regular",3,3
12887,"regular",3,3
12888,"regular",3,3
12889,"regular",3,3
12890,"regular",3,3
12895,"regular",3,3
12896,"regular",7,9
12897,"regular",3,3
12898,"regular",4,5
12899,"regular",3,3
12900,"regular",3,3
12901,"regular",3,3
12902,"regular",3,3
12907,"regular",3,3
12908,"regular",3,3
12909,"vandalism",12,12
12910,"regular",3,3
12911,"regular",3,3
12912,"regular",3,3
12913,"vandalism",8,9
12914,"regular",13,18
12915,"regular",4,4
12919,"regular",3,3
12920,"regular",3,3
12921,"regular",3,3
12922,"regular",3,3
12923,"regular",3,3
12924,"regular",3,3
12926,"regular",3,3
12931,"regular",3,3
12932,"regular",3,3
12933,"regular",5,6
12934,"regular",3,3
12935,"regular",3,3
12936,"regular",3,3
12937,"regular",3,3
12938,"regular",7,9
12943,"regular",9,12
12944,"regular",3,3
12945,"regular",3,3
12946,"vandalism",13,18
12947,"regular",3,3
12948,"regular",3,3
12949,"regular",3,3
12950,"regular",3,3
12955,"regular",6,6
12956,"vandalism",12,12
12957,"regular",3,3
12958,"regular",3,3
12959,"regular",3,3
12960,"regular",3,3
12961,"regular",3,3
12962,"regular",5,6
12967,"regular",3,3
12968,"regular",3,3
12969,"regular",3,3
12970,"vandalism",7,15
12971,"regular",3,3
12972,"regular",7,9
12973,"regular",3,3
12980,"regular",3,3
12982,"regular",3,3
12983,"regular",3,3
12984,"regular",3,3
12985,"regular",3,3
12986,"regular",3,3
12991,"regular",3,3
12992,"regular",10,13
12993,"regular",3,3
12994,"regular",3,3
12995,"regular",4,5
12996,"regular",7,9
12997,"regular",3,3
12998,"regular",3,3
13004,"regular",3,3
13005,"regular",3,3
13006,"regular",3,3
13007,"regular",3,3
13008,"regular",3,3
13009,"regular",3,3
13010,"regular",3,3
13015,"regular",3,3
13016,"regular",3,3
13017,"regular",3,3
13018,"regular",3,3
13019,"regular",3,3
13020,"vandalism",5,6
13021,"regular",3,3
13022,"regular",3,3
13027,"regular",3,3
13029,"regular",3,3
13030,"regular",3,3
13031,"regular",9,12
13032,"regular",3,3
13033,"regular",5,6
13034,"regular",6,6
13040,"regular",3,3
13041,"vandalism",11,11
13042,"regular",3,3
13043,"regular",3,3
13044,"regular",3,3
13045,"regular",3,3
13046,"regular",3,3
13051,"vandalism",7,8
13052,"regular",3,3
13053,"regular",3,3
13054,"regular",3,3
13055,"regular",3,3
13056,"regular",3,3
13057,"regular",3,3
13058,"regular",3,3
13059,"regular",5,7
13060,"regular",4,4
13061,"regular",4,4
13062,"regular",5,5
13063,"regular",3,3
13064,"regular",3,3
13065,"regular",3,3
13066,"regular",3,3
13067,"vandalism",16,16
13068,"regular",3,3
13069,"regular",3,3
13070,"vandalism",15,15
13075,"regular",3,3
13076,"regular",7,7
13077,"vandalism",11,12
13078,"regular",7,9
13079,"regular",3,3
13080,"regular",3,3
13082,"regular",3,3
13087,"vandalism",12,12
13088,"regular",3,3
13089,"regular",3,3
13090,"regular",3,3
13091,"regular",5,6
13092,"vandalism",13,13
13093,"regular",3,3
13094,"regular",3,3
13099,"regular",3,3
13100,"regular",6,6
13101,"regular",3,3
13102,"regular",3,3
13103,"vandalism",9,10
13104,"regular",3,3
13105,"regular",3,3
13106,"regular",3,3
13111,"regular",3,3
13112,"regular",3,3
13113,"regular",3,3
13114,"regular",5,6
13115,"regular",6,6
13116,"regular",3,3
13117,"regular",3,3
13118,"vandalism",12,12
13123,"regular",3,3
13124,"regular",3,3
13125,"regular",3,3
13126,"regular",3,3
13127,"regular",3,3
13128,"vandalism",12,19
13129,"regular",5,6
13130,"regular",3,3
13135,"regular",3,3
13136,"vandalism",12,12
13137,"regular",3,3
13138,"regular",5,6
13139,"regular",7,9
13140,"regular",3,3
13141,"regular",3,3
13142,"regular",3,3
13147,"regular",3,3
13148,"regular",3,3
13149,"regular",3,3
13150,"regular",3,3
13151,"regular",3,3
13152,"vandalism",7,9
13153,"regular",3,3
13154,"regular",7,7
13159,"regular",5,6
13160,"regular",5,6
13161,"regular",3,3
13162,"regular",3,3
13163,"regular",3,3
13164,"regular",3,3
13165,"regular",10,18
13166,"regular",5,6
13171,"regular",3,3
13172,"regular",3,3
13173,"regular",3,3
13174,"regular",3,3
13175,"regular",3,3
13176,"regular",3,3
13177,"regular",5,5
13178,"regular",5,6
13183,"regular",3,3
13184,"regular",3,3
13185,"regular",3,3
13186,"regular",3,3
13187,"regular",3,3
13188,"regular",3,3
13189,"regular",3,3
13190,"regular",3,3
13195,"regular",9,17
13196,"regular",11,15
13197,"regular",5,6
13198,"vandalism",11,12
13199,"regular",3,3
13201,"regular",3,3
13202,"regular",5,6
13207,"regular",3,3
13208,"regular",3,3
13209,"regular",3,3
13211,"regular",3,3
13212,"regular",3,3
13213,"vandalism",11,17
13214,"regular",3,3
13219,"regular",9,12
13220,"regular",3,3
13221,"regular",3,3
13222,"regular",5,6
13224,"regular",5,6
13225,"regular",3,3
13226,"regular",3,3
13231,"vandalism",5,6
13232,"regular",3,3
13233,"regular",10,18
13234,"regular",3,3
13235,"regular",3,3
13236,"regular",3,3
13237,"regular",3,3
13238,"regular",5,6
13239,"regular",4,4
13243,"regular",3,3
13244,"regular",3,3
13245,"regular",3,3
13246,"regular",3,3
13247,"regular",3,3
13248,"regular",3,3
13249,"regular",3,3
13250,"regular",6,6
13255,"regular",3,3
13256,"regular",3,3
13257,"regular",3,3
13258,"regular",3,3
13259,"regular",10,19
13260,"regular",3,3
13261,"vandalism",10,16
13262,"regular",3,3
13267,"regular",7,8
13268,"regular",5,5
13269,"regular",3,3
13270,"regular",3,3
13271,"vandalism",12,12
13272,"regular",3,3
13273,"regular",3,3
13274,"regular",3,3
13275,"regular",4,4
13279,"regular",3,3
13280,"regular",3,3
13281,"regular",3,3
13282,"regular",3,3
13283,"vandalism",12,12
13284,"regular",3,3
13285,"vandalism",12,12
13286,"vandalism",10,19
13291,"regular",3,3
13292,"regular",3,3
13293,"regular",5,5
13294,"regular",3,3
13295,"regular",3,3
13296,"regular",3,3
13297,"regular",3,3
13298,"regular",3,3
13303,"regular",3,3
13304,"regular",3,3
13305,"regular",3,3
13306,"regular",3,3
13307,"regular",3,3
13308,"regular",3,3
13309,"regular",3,3
13310,"regular",5,6
13315,"regular",5,6
13316,"regular",3,3
13317,"regular",3,3
13318,"vandalism",12,12
13319,"regular",3,3
13321,"regular",3,3
13322,"regular",3,3
13327,"regular",5,6
13328,"regular",3,3
13329,"vandalism",7,9
13330,"regular",3,3
13331,"regular",3,3
13332,"regular",3,3
13333,"regular",6,6
13334,"regular",3,3
13339,"regular",3,3
13340,"regular",3,3
13341,"vandalism",5,6
13342,"regular",3,3
13343,"regular",3,3
13344,"regular",3,3
13345,"regular",3,3
13346,"regular",3,3
13351,"regular",3,3
13352,"regular",3,3
13353,"regular",3,3
13354,"regular",6,6
13355,"regular",3,3
13356,"regular",7,9
13357,"regular",3,3
13358,"regular",3,3
13359,"regular",4,4
13363,"regular",3,3
13364,"regular",3,3
13365,"regular",3,3
13366,"regular",3,3
13367,"regular",3,3
13368,"regular",3,3
13369,"vandalism",12,12
13370,"regular",3,3
13375,"regular",3,3
13376,"regular",3,3
13377,"regular",3,3
13378,"regular",5,6
13379,"regular",3,3
13381,"regular",3,3
13382,"regular",3,3
13387,"regular",3,3
13388,"regular",3,3
13389,"regular",3,3
13390,"regular",3,3
13391,"regular",3,3
13392,"regular",3,3
13393,"vandalism",9,13
13394,"regular",6,6
13399,"regular",3,3
13400,"regular",3,3
13401,"regular",3,3
13402,"regular",3,3
13403,"regular",3,3
13404,"regular",7,9
13405,"regular",3,3
13406,"regular",3,3
13407,"vandalism",8,16
13411,"regular",3,3
13412,"regular",3,3
13413,"regular",7,9
13414,"regular",3,3
13415,"regular",5,6
13416,"regular",5,6
13417,"regular",5,6
13418,"regular",3,3
13423,"regular",3,3
13424,"regular",3,3
13425,"regular",3,3
13426,"regular",3,3
13427,"regular",3,3
13428,"regular",3,3
13429,"regular",3,3
13430,"regular",6,6
13435,"regular",3,3
13436,"regular",3,3
13437,"regular",3,3
13438,"regular",3,3
13439,"regular",3,3
13440,"regular",3,3
13441,"regular",7,9
13442,"regular",3,3
13447,"regular",3,3
13448,"regular",3,3
13449,"regular",3,3
13450,"regular",3,3
13451,"regular",3,3
13452,"regular",3,3
13453,"regular",3,3
13454,"regular",3,3
13459,"regular",6,6
13460,"regular",3,3
13461,"regular",3,3
13462,"vandalism",5,6
13463,"regular",3,3
13464,"regular",3,3
13465,"regular",3,3
13471,"regular",3,3
13473,"regular",3,3
13474,"regular",5,6
13475,"regular",5,6
13476,"regular",3,3
13477,"regular",3,3
13478,"regular",3,3
13483,"regular",7,9
13484,"regular",3,3
13485,"regular",3,3
13486,"regular",3,3
13487,"regular",3,3
13488,"regular",3,3
13489,"regular",7,9
13490,"regular",3,3
13491,"regular",4,4
13492,"regular",4,4
13493,"regular",4,4
13494,"regular",4,4
13495,"regular",3,3
13496,"regular",3,3
13497,"regular",7,9
13498,"regular",3,3
13499,"regular",3,3
13500,"regular",3,3
13501,"regular",7,9
13502,"vandalism",9,12
13507,"regular",3,3
13508,"regular",3,3
13509,"regular",7,7
13510,"regular",3,3
13511,"regular",3,3
13512,"regular",3,3
13513,"regular",7,9
13514,"regular",3,3
13519,"regular",3,3
13520,"regular",3,3
13521,"regular",3,3
13522,"regular",3,3
13523,"regular",3,3
13524,"regular",3,3
13525,"regular",3,3
13526,"regular",3,3
13531,"regular",5,6
13532,"regular",6,6
13533,"regular",3,3
13534,"regular",5,6
13535,"regular",5,6
13536,"regular",3,3
13537,"regular",5,6
13538,"regular",5,6
13539,"regular",4,4
13540,"regular",4,4
13541,"regular",4,4
13542,"regular",3,4
13543,"regular",3,3
13544,"regular",3,3
13545,"regular",3,3
13546,"regular",3,3
13547,"regular",3,3
13548,"regular",3,3
13549,"regular",3,3
13550,"regular",3,3
13555,"regular",3,3
13556,"regular",3,3
13557,"regular",3,3
13558,"regular",3,3
13559,"regular",3,3
13560,"regular",3,3
13561,"regular",3,3
13562,"regular",3,3
13567,"regular",6,6
13568,"regular",3,3
13569,"regular",3,3
13570,"regular",3,3
13571,"regular",3,3
13572,"regular",3,3
13573,"regular",3,3
13574,"regular",3,3
13579,"regular",3,3
13580,"regular",3,3
13581,"regular",3,3
13582,"regular",5,6
13583,"regular",5,6
13584,"regular",7,8
13585,"vandalism",13,13
13586,"regular",7,9
13591,"regular",3,3
13592,"regular",3,3
13593,"regular",3,3
13594,"regular",3,3
13595,"regular",3,3
13596,"regular",3,3
13597,"regular",3,3
13598,"regular",3,3
13603,"regular",3,3
13604,"regular",3,3
13605,"regular",3,3
13606,"regular",3,3
13607,"regular",3,3
13608,"regular",3,3
13609,"regular",5,6
13610,"regular",3,3
13615,"regular",3,3
13616,"regular",3,3
13618,"regular",3,3
13619,"vandalism",13,13
13620,"regular",3,3
13621,"regular",3,3
13622,"regular",3,3
13627,"regular",3,3
13628,"regular",3,3
13629,"regular",9,17
13630,"regular",5,6
13631,"regular",3,3
13632,"regular",3,3
13633,"vandalism",7,9
13634,"regular",6,7
13639,"regular",3,3
13640,"regular",7,9
13641,"regular",3,3
13642,"regular",3,3
13643,"regular",3,3
13644,"regular",3,3
13645,"regular",6,6
13646,"regular",3,3
13651,"regular",3,3
13652,"regular",11,16
13653,"regular",3,3
13654,"regular",3,3
13655,"regular",3,3
13656,"regular",3,3
13657,"regular",3,3
13658,"regular",3,3
13663,"vandalism",11,14
13664,"regular",3,3
13665,"regular",3,3
13666,"regular",7,7
13667,"regular",3,3
13668,"regular",3,3
13669,"regular",3,3
13670,"regular",3,3
13675,"regular",3,3
13676,"regular",3,3
13677,"regular",3,3
13678,"regular",3,3
13679,"regular",5,6
13680,"regular",3,3
13681,"regular",3,3
13682,"regular",3,3
13687,"regular",3,3
13688,"regular",3,3
13689,"regular",6,6
13690,"regular",3,3
13691,"regular",3,3
13693,"regular",3,3
13694,"regular",3,3
13699,"regular",3,3
13700,"regular",3,3
13702,"regular",3,3
13703,"regular",3,3
13704,"regular",3,3
13705,"regular",3,3
13706,"regular",3,3
13711,"regular",3,3
13712,"regular",3,3
13713,"regular",6,6
13714,"regular",3,3
13715,"regular",3,3
13716,"regular",3,3
13717,"vandalism",5,6
13718,"regular",3,3
13723,"regular",3,3
13724,"regular",3,3
13725,"regular",3,3
13726,"regular",3,3
13727,"regular",3,3
13728,"regular",3,3
13729,"regular",3,3
13730,"regular",3,3
13735,"regular",3,3
13736,"regular",6,6
13737,"regular",3,3
13738,"regular",3,3
13739,"vandalism",15,15
13740,"regular",3,3
13741,"regular",3,3
13742,"regular",3,3
13747,"regular",3,3
13748,"regular",3,3
13749,"regular",5,6
13750,"regular",3,3
13751,"regular",3,3
13752,"regular",3,3
13753,"vandalism",7,9
13754,"regular",6,6
13759,"regular",3,3
13761,"regular",3,3
13762,"regular",3,3
13763,"regular",3,3
13764,"regular",3,3
13765,"regular",5,6
13766,"regular",3,3
13771,"regular",3,3
13772,"regular",3,3
13773,"regular",3,3
13774,"regular",3,3
13775,"regular",3,3
13776,"regular",3,3
13777,"regular",5,5
13778,"regular",3,3
13783,"regular",3,3
13784,"regular",3,3
13785,"regular",3,3
13786,"regular",3,3
13787,"regular",3,3
13788,"regular",3,3
13789,"regular",3,3
13790,"regular",3,3
13795,"vandalism",5,7
13796,"regular",3,3
13797,"regular",3,3
13798,"regular",3,3
13799,"regular",3,3
13800,"regular",6,6
13801,"regular",3,3
13802,"regular",5,6
13807,"regular",7,9
13808,"regular",3,3
13809,"regular",5,6
13810,"regular",3,3
13811,"regular",3,3
13812,"regular",3,3
13813,"regular",3,3
13814,"regular",3,3
13820,"regular",3,3
13821,"regular",7,9
13822,"regular",3,3
13823,"regular",10,17
13824,"regular",3,3
13825,"regular",3,3
13826,"regular",3,3
13827,"regular",5,5
13828,"regular",4,4
13829,"regular",4,4
13830,"regular",4,4
